,conf,score
58,"(7, 20, 3, 25, 128, 7, 'Adamax', 0.001, 'uniform', 'linear')",3090.7411471775995
59,"(7, 100, 5, 25, 128, 0, 'Adamax', 0.1, 'normal', 'softplus')",3097.854977070083
60,"(14, 20, 5, 25, 32, 7, 'Adamax', 0.001, 'uniform', 'softplus')",3099.8733911336667
61,"(7, 50, 5, 25, 128, 0, 'adam', 0.1, 'normal', 'relu')",3102.155234533707
62,"(7, 50, 3, 25, 32, 0, 'Adamax', 0.1, 'lecun_uniform', 'softplus')",3117.4540462493787
63,"(7, 50, 5, 25, 32, 0, 'Adagrad', 0.1, 'uniform', 'softplus')",3124.2401536056723
64,"(7, 50, 3, 25, 128, 0, 'adam', 0.001, 'lecun_uniform', 'linear')",3124.652081545224
65,"(7, 20, 3, 25, 32, 7, 'Adamax', 0.001, 'normal', 'relu')",3133.1562461486146
66,"(7, 20, 5, 25, 500, 7, 'adam', 0.001, 'normal', 'softplus')",3139.509129262808
67,"(7, 100, 5, 25, 500, 0, 'Adamax', 0.1, 'uniform', 'relu')",3155.185123852041
68,"(14, 100, 3, 25, 32, 7, 'adam', 0.001, 'lecun_uniform', 'linear')",3158.1921048221866
69,"(7, 20, 5, 25, 32, 0, 'Adamax', 0.001, 'uniform', 'softplus')",3160.998328942991
70,"(7, 20, 5, 25, 128, 7, 'Adamax', 0.1, 'uniform', 'relu')",3161.5060886767733
71,"(14, 100, 3, 25, 128, 7, 'Adagrad', 0.1, 'normal', 'relu')",3163.634998033317
72,"(14, 20, 5, 25, 32, 7, 'Adamax', 0.1, 'normal', 'linear')",3164.9237279290455
73,"(7, 100, 5, 25, 500, 0, 'adam', 0.001, 'uniform', 'relu')",3166.941391678575
74,"(14, 50, 5, 25, 32, 0, 'adam', 0.1, 'normal', 'softplus')",3173.2790944335784
75,"(7, 20, 5, 25, 32, 0, 'Adamax', 0.1, 'lecun_uniform', 'relu')",3185.5625300119314
76,"(14, 100, 5, 25, 500, 7, 'Adagrad', 0.1, 'uniform', 'linear')",3194.3088463772906
77,"(7, 20, 5, 25, 500, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",3195.4324430310808
78,"(7, 100, 3, 25, 500, 7, 'Adagrad', 0.001, 'uniform', 'softplus')",3197.791048504872
79,"(7, 50, 3, 25, 128, 7, 'Adagrad', 0.001, 'normal', 'relu')",3212.755335207983
80,"(14, 100, 5, 25, 128, 7, 'Adagrad', 0.1, 'normal', 'softplus')",3227.502456727402
81,"(14, 50, 3, 25, 128, 7, 'Adagrad', 0.001, 'normal', 'linear')",3228.0919312652322
82,"(7, 20, 3, 25, 128, 7, 'Adagrad', 0.001, 'lecun_uniform', 'linear')",3229.021167193944
83,"(7, 20, 3, 25, 500, 7, 'adam', 0.1, 'uniform', 'relu')",3229.851782333699
84,"(14, 20, 5, 25, 128, 7, 'adam', 0.001, 'uniform', 'relu')",3230.337198182746
